Name,City,State,Legacy NTD ID,NTD ID,Organization Type,NTD Reporter Type,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Mode VOMS Questionable,Max Trains in Operation,Max Trains in Operation Questionable,Average Speed (mi/hr),Average Speed (mi/hr) Questionable,Average Passenger Trip Length (mi),Average Passenger Trip Length (mi) Questionable,Passengers per Hour,Passengers per Hour Questionable,Scheduled Vehicle Revenue Miles,Scheduled Vehicle Revenue Miles Questionable,Vehicle Miles,Vehicle Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Deadhead Miles, Deadhead Miles Questionable ,Vehicle Hours, Vehicle Hours Questionable ,"Vehicle 
Revenue 
Hours", Vehicle Revenue Hours Questionable ,Deadhead Hours, Deadhead Hours Questionable ,Train Miles, Train Miles Questionable ,"Train 
Revenue
Miles", Train Revenue Miles Questionable ,Train Hours, Train Hours Questionable ,"Train 
Revenue 
Hours", Train Revenue Hours Questionable ,Unlinked Passenger Trips, Unlinked Passenger Trips Questionable ,Passenger Miles,Passenger Miles Questionable,Any data questionable,,,,,,,,,,,,,,1
Memphis Area Transit Authority,Memphis,TN,4003,40003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,060,061 ", 150 ,SR,DO,0,, -   ,  ,#DIV/0!,  ,#DIV/0!,  ,#DIV/0!,  ,0 ,  ,0 ,  ,0 ,  ,,  ,0 ,  ,0 ,  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,,No,,,,,,,,,,,,,,Hide questionable data tags
"Connecticut River Transit, Inc.",Bellows Falls,VT,1R06-004,1R06-10141,Private-Non-Profit Corporation,Rural Reporter,0 , 96 ,DT,PT,0,W, -   ,  ,#DIV/0!, W , -   ,  ,#DIV/0!, W ,0 ,  ,0 ,  ,0 , W ,,  ,0 ,  ,0 , W ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"16,700 ",  ,0 ,,No,,,,,,,,,,,,,,Show questionable data tags
Pigeon Forge Fun Time Trolleys,Pigeon Forge,TN,4R08-012,4R08-41136,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 33 ,DR,DO,0,, -   ,  ,#DIV/0!,  ,#DIV/0!,  ,#DIV/0!,  ,0 ,  ,0 ,  ,0 ,  ,,  ,0 ,  ,0 ,  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,,No,,,,,,,,,,,,,,1
City of Gatlinburg,Gatlinburg,TN,4R08-011,4R08-41102,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 15 ,DR,DO,1,, -   ,  ,#DIV/0!,  ,#DIV/0!,  ,#DIV/0!,  ,0 ,  ,0 ,  ,0 ,  ,,  ,0 ,  ,0 ,  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,,No,,,,,,,,,,,,,,
Opportunity Link,Havre,MT,8R02-035,8R02-80204,Private-For-Profit Corporation,Rural Reporter,0 , 6 ,MB,DO,6,, -   ,  , 94.83 , Q , -   ,  , 9.05 , Q ,0 ,  ,0 ,  ,"142,249 ",  ,,  ,0 ,  ,"1,500 ", Q ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"13,571 ", Q ,0 ,,Yes,,,,,,,,,,,,,,
Transit Authority of Central Kentucky,Elizabethtown,KY,4191,40191,Independent Public Agency or Authority of Transit Service,Full Reporter,"73,467 ", 56 ,VP,DO,16,, -   ,  , 63.71 ,  , 13.35 , Q , 7.81 ,  ,0 ,  ,"468,596 ",  ,"468,596 ",  ,0 ,  ,"7,355 ",  ,"7,355 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"57,416 ",  ,"766,428 ",Q,Yes,,,,,,,,,,,,,,
Pennsylvania Department of Transportation,Harrisburg,PA,3057,30057,State Government Unit or Department of Transportation,Full Reporter,"5,441,567 ", 40 ,CR,PT,40,, 4 ,  , 59.77 ,  , 87.83 ,  , 19.22 ,  ,"4,254,082 ",  ,"4,230,547 ",  ,"4,230,547 ",  ,0 ,  ,"70,781 ",  ,"70,781 ",  ,0 ,  ,"846,109 ",  ,"846,109 ",  ,"14,156 ",  ,"14,156 ",  ,"1,360,737 ",  ,"119,508,127 ",,No,,,,,,,,,,,,,,
Grant County Transportation Authority,Moses Lake,WA,0R03-011,0R03-00309,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 34 ,VP,DO,14,, -   ,  , 56.96 ,  , -   ,  , 9.22 ,  ,0 ,  ,0 ,  ,"277,496 ",  ,,  ,0 ,  ,"4,872 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"44,927 ",  ,0 ,,No,,,,,,,,,,,,,,
Denton County Transportation Authority,Lewisville,TX,6101,60101,Independent Public Agency or Authority of Transit Service,Full Reporter,"366,174 ", 94 ,VP,PT,32,, -   ,  , 55.90 ,  , 24.20 ,  , 12.16 ,  ,0 ,  ,"618,963 ",  ,"618,963 ",  ,0 ,  ,"11,072 ",  ,"11,072 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"134,662 ",  ,"3,258,528 ",,No,,,,,,,,,,,,,,
Whatcom Transportation Authority,Bellingham,WA,0021,00021,Independent Public Agency or Authority of Transit Service,Full Reporter,"114,473 ", 107 ,VP,DO,31,, -   ,  , 55.57 ,  , 40.62 ,  , 6.75 ,  ,0 ,  ,"511,014 ",  ,"509,939 ",  ,"1,075 ",  ,"9,207 ",  ,"9,176 ",  ,31 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"61,922 ",  ,"2,515,277 ",,No,,,,,,,,,,,,,,
